PassengerId,Survived,Age,SibSp,Parch,Fare,Title,2,3,male,Q,S
1,0,22.0,1,0,7.25,Mr,0,1,1,0,1
2,1,38.0,1,0,71.2833,Mrs,0,0,0,0,0
3,1,26.0,0,0,7.925,Miss,0,1,0,0,1
4,1,35.0,1,0,53.1,Mrs,0,0,0,0,1
5,0,35.0,0,0,8.05,Mr,0,1,1,0,1
6,0,25.14061,0,0,8.4583,Mr,0,1,1,1,0
7,0,54.0,0,0,51.8625,Mr,0,0,1,0,1
8,0,2.0,3,1,21.075,Master,0,1,1,0,1
9,1,27.0,0,2,11.1333,Mrs,0,1,0,0,1
10,1,14.0,1,0,30.0708,Mrs,1,0,0,0,0
11,1,4.0,1,1,16.7,Miss,0,1,0,0,1
12,1,58.0,0,0,26.55,Miss,0,0,0,0,1
13,0,20.0,0,0,8.05,Mr,0,1,1,0,1
14,0,39.0,1,5,31.275,Mr,0,1,1,0,1
15,0,14.0,0,0,7.8542,Miss,0,1,0,0,1
16,1,55.0,0,0,16.0,Mrs,1,0,0,0,1
17,0,2.0,4,1,29.125,Master,0,1,1,1,0
18,1,29.8776,0,0,13.0,Mr,1,0,1,0,1
19,0,31.0,1,0,18.0,Mrs,0,1,0,0,1
20,1,25.14061,0,0,7.225,Mrs,0,1,0,0,0
21,0,35.0,0,0,26.0,Mr,1,0,1,0,1
22,1,34.0,0,0,13.0,Mr,1,0,1,0,1
23,1,15.0,0,0,8.0292,Miss,0,1,0,1,0
24,1,28.0,0,0,35.5,Mr,0,0,1,0,1
25,0,8.0,3,1,21.075,Miss,0,1,0,0,1
26,1,38.0,1,5,31.3875,Mrs,0,1,0,0,1
27,0,25.14061,0,0,7.225,Mr,0,1,1,0,0
28,0,19.0,3,2,263.0,Mr,0,0,1,0,1
29,1,25.14061,0,0,7.8792,Miss,0,1,0,1,0
30,0,25.14061,0,0,7.8958,Mr,0,1,1,0,1
31,0,40.0,0,0,27.7208,Sir,0,0,1,0,0
32,1,38.12347,1,0,146.5208,Mrs,0,0,0,0,0
33,1,25.14061,0,0,7.75,Miss,0,1,0,1,0
34,0,66.0,0,0,10.5,Mr,1,0,1,0,1
35,0,28.0,1,0,82.1708,Mr,0,0,1,0,0
36,0,42.0,1,0,52.0,Mr,0,0,1,0,1
37,1,25.14061,0,0,7.2292,Mr,0,1,1,0,0
38,0,21.0,0,0,8.05,Mr,0,1,1,0,1
39,0,18.0,2,0,18.0,Miss,0,1,0,0,1
40,1,14.0,1,0,11.2417,Miss,0,1,0,0,0
41,0,40.0,1,0,9.475,Mrs,0,1,0,0,1
42,0,27.0,1,0,21.0,Mrs,1,0,0,0,1
43,0,25.14061,0,0,7.8958,Mr,0,1,1,0,0
44,1,3.0,1,2,41.5792,Miss,1,0,0,0,0
45,1,19.0,0,0,7.8792,Miss,0,1,0,1,0
46,0,25.14061,0,0,8.05,Mr,0,1,1,0,1
47,0,25.14061,1,0,15.5,Mr,0,1,1,1,0
48,1,25.14061,0,0,7.75,Miss,0,1,0,1,0
49,0,25.14061,2,0,21.6792,Mr,0,1,1,0,0
50,0,18.0,1,0,17.8,Mrs,0,1,0,0,1
51,0,7.0,4,1,39.6875,Master,0,1,1,0,1
52,0,21.0,0,0,7.8,Mr,0,1,1,0,1
53,1,49.0,1,0,76.7292,Mrs,0,0,0,0,0
54,1,29.0,1,0,26.0,Mrs,1,0,0,0,1
55,0,65.0,0,1,61.9792,Mr,0,0,1,0,0
56,1,38.12347,0,0,35.5,Mr,0,0,1,0,1
57,1,21.0,0,0,10.5,Miss,1,0,0,0,1
58,0,28.5,0,0,7.2292,Mr,0,1,1,0,0
59,1,5.0,1,2,27.75,Miss,1,0,0,0,1
60,0,11.0,5,2,46.9,Master,0,1,1,0,1
61,0,22.0,0,0,7.2292,Mr,0,1,1,0,0
63,0,45.0,1,0,83.475,Mr,0,0,1,0,1
64,0,4.0,3,2,27.9,Master,0,1,1,0,1
65,0,38.12347,0,0,27.7208,Mr,0,0,1,0,0
66,1,25.14061,1,1,15.2458,Master,0,1,1,0,0
67,1,29.0,0,0,10.5,Mrs,1,0,0,0,1
68,0,19.0,0,0,8.1583,Mr,0,1,1,0,1
69,1,17.0,4,2,7.925,Miss,0,1,0,0,1
